SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN,TIMESTAMP
UNITECH,EQ,5.5,6.15,5.45,5.9,5.95,5.4,61618557,364854340.5,17864,INE694A01020,2017-02-20
UNITEDBNK,EQ,18.9,19.15,18.6,18.95,19.05,18.8,278229,5256298.65,1000,INE695A01019,2017-02-20
UNITEDTEA,EQ,301.05,309.95,301,305.9,304,310,311,94558.9,21,INE458F01011,2017-02-20
UNITY,EQ,6.8,7.15,6.8,6.85,6.8,6.8,53748,373049.65,141,INE466H01028,2017-02-20
UNIVCABLES,EQ,92.5,93.7,92,92.3,92.7,92.75,10816,1001329.75,132,INE279A01012,2017-02-20
UPL,EQ,834,835.1,823,832.9,834.9,835.1,497427,412801718.7,20344,INE628A01036,2017-02-20
URJA,EQ,0.9,0.9,0.85,0.85,0.85,0.9,409374,348177.95,167,INE550C01020,2017-02-20
USHAMART,EQ,17.95,18.5,17.7,17.9,18,17.8,320649,5808345.9,742,INE228A01035,2017-02-20
UTINIFTETF,EQ,972.25,972.25,972.25,972.25,972.25,972.25,1,972.25,1,INF789FB1X41,2017-02-20
UTISENSETF,EQ,317.45,317.45,317.45,317.45,317.45,317.65,1,317.45,1,INF789FB1X58,2017-02-20
UTTAMSTL,EQ,29.15,29.9,29,29.25,29.25,29.15,64712,1901284.7,349,INE699A01011,2017-02-20
UTTAMSUGAR,EQ,118.5,122.2,117.1,121.4,121.55,119.8,34056,4127441.4,327,INE786F01031,2017-02-20
UVSL,EQ,0.5,0.55,0.5,0.5,0.5,0.5,37482,19242.05,18,INE292A01023,2017-02-20
V2RETAIL,EQ,247,248.7,239.15,242.4,243,248.9,74122,18065211.95,1326,INE945H01013,2017-02-20
VADILALIND,EQ,804.8,818.9,779.2,797.9,795,805,28371,22697849.3,1674,INE694D01016,2017-02-20
VENKEYS,EQ,1401,1446,1401,1433.7,1432,1420.65,44773,63991964.15,3647,INE398A01010,2017-02-20
VENUSREM,EQ,90,91.95,89.85,90.85,90.65,91.4,38170,3466780.35,1163,INE411B01019,2017-02-20
VESUVIUS,EQ,1214.05,1223,1200,1207.2,1211.2,1200.65,963,1162001.75,168,INE386A01015,2017-02-20
VETO,EQ,180,185.3,178.2,180,179.7,181.5,192308,34788312.55,1648,INE918N01018,2017-02-20
VGUARD,EQ,175,175.9,172.6,174.75,175,175.7,700130,122225799.85,7426,INE951I01027,2017-02-20
VHL,EQ,3308,3379.95,3278,3307.4,3317,3330.85,469,1556340.25,175,INE701A01023,2017-02-20
VICEROY,EQ,18.8,19,18.45,18.8,18.8,18.85,45434,848512.95,345,INE048C01017,2017-02-20
VIDEOIND,EQ,19.15,19.15,19.15,19.15,19.15,18.25,50021,957902.15,126,INE703A01011,2017-02-20
VIDHIING,EQ,58.3,58.6,56.6,56.9,57,59.2,29304,1680193.05,239,INE632C01026,2017-02-20
VIJAYABANK,EQ,70.35,72.5,69.35,70.95,70.8,71.65,764783,54408009.65,4976,INE705A01016,2017-02-20
VIJSHAN,EQ,19.2,22.1,18,20.55,20.5,18.45,1576449,33659527.15,4112,INE806F01011,2017-02-20
VIKASECO,EQ,20.4,20.4,19.85,20.1,20.25,20.4,769727,15496973.05,1810,INE806A01020,2017-02-20
VIMTALABS,EQ,140.9,142,137.3,140.35,141.35,140.95,125656,17601061.4,1730,INE579C01029,2017-02-20
VINATIORGA,EQ,902.1,933.55,902.1,922.65,917.45,915.3,66024,61078501.6,1009,INE410B01029,2017-02-20
VINDHYATEL,EQ,773.9,773.9,733.1,759.15,757.5,758.65,6474,4893765.6,561,INE707A01012,2017-02-20
VINYLINDIA,EQ,69.1,71.7,69,70.85,71.5,69.95,31901,2248211.6,413,INE250B01029,2017-02-20
VIPCLOTHNG,EQ,62.9,64.6,61.95,62.95,62.7,62.45,277103,17572029.7,1550,INE450G01024,2017-02-20
VIPIND,EQ,187.35,187.35,179,180.75,179.15,186.4,143168,26131352.5,4130,INE054A01027,2017-02-20
VIPULLTD,EQ,79.15,82.95,78.2,79,80.85,79.15,298002,24048131.65,1735,INE946H01037,2017-02-20
VISAKAIND,EQ,503.8,531.8,500,508.95,508,504.15,203476,105273341.5,9972,INE392A01013,2017-02-20
WHEELS,EQ,1311,1327.3,1311,1322.35,1320,1319.6,347,457778.55,55,INE715A01015,2017-02-20
WHIRLPOOL,EQ,1129.85,1130,1109.05,1126.6,1125,1120.65,13796,15463051.6,1854,INE716A01013,2017-02-20
WINDMACHIN,EQ,56.7,58.7,52.8,53.4,53.8,54.6,19678,1061358.1,218,INE052A01021,2017-02-20
WINSOME,EQ,1.95,1.95,1.85,1.95,1.95,1.9,63567,123893.55,22,INE784B01035,2017-02-20
WIPRO,EQ,258,259.4,254.25,258.4,258.85,256.55,1668027,428642911.6,20018,INE075A01022,2017-02-20
WOCKPHARMA,EQ,587,592.8,579.35,587.75,587.55,586.35,1247367,731328444.05,18656,INE049B01025,2017-02-20
WONDERLA,EQ,365.35,367.45,356,356.9,356.65,365.35,25303,9139847.15,988,INE066O01014,2017-02-20
WSI,EQ,8.55,10.3,8.55,10.2,10.3,8.6,23941,243620.05,59,INE100D01014,2017-02-20
WSTCSTPAPR,EQ,192.4,192.4,188.8,190.05,190,192.4,132466,25168408.35,1536,INE976A01021,2017-02-20
XCHANGING,EQ,55.4,56.35,55.35,55.95,56.3,55.5,13597,760240.95,155,INE692G01013,2017-02-20
XPROINDIA,EQ,48.6,51.7,48.4,50,50.15,49.2,54433,2702735.15,115,INE445C01015,2017-02-20
YESBANK,EQ,1414.4,1459.05,1401.5,1449.7,1449.95,1415.5,2723464,3915788417.4,78084,INE528G01019,2017-02-20
ZANDUREALT,EQ,1253,1255,1233,1240.4,1235.5,1241.85,461,573260.4,111,INE719A01017,2017-02-20
ZEEL,EQ,490,490.95,480,484.55,484.1,491.8,3001156,1453068197.2,66834,INE256A01028,2017-02-20
ZEELEARN,EQ,42.8,42.95,41.65,42.3,42.6,42.75,123554,5208889.2,873,INE565L01011,2017-02-20
ZEEMEDIA,EQ,38.05,39.2,36.75,37.05,36.85,38.05,984518,37312241.45,2759,INE966H01019,2017-02-20
ZENSARTECH,EQ,852.45,864.55,827.95,839.9,836.45,855.65,5277,4466891.5,614,INE520A01019,2017-02-20
ZENTEC,EQ,48.85,51.2,48,50.3,50.6,48.8,129566,6441504,1005,INE251B01027,2017-02-20
ZICOM,EQ,30.65,31.4,30.05,30.35,30.35,30.55,76817,2370180.75,628,INE871B01014,2017-02-20
ZODIACLOTH,EQ,212,214.35,207.1,210.25,211.9,210,3127,657559.6,204,INE206B01013,2017-02-20
ZODJRDMKJ,EQ,29.35,32.5,29.35,32.3,32.5,31.5,653,20220,10,INE077B01018,2017-02-20
ZUARI,EQ,385.65,400,382.95,397.4,394.9,385.65,26804,10560857.75,1321,INE840M01016,2017-02-20
ZUARIGLOB,EQ,131.1,131.5,130,130.75,131.5,131.65,5718,747882.3,76,INE217A01012,2017-02-20
ZYDUSWELL,EQ,834.5,854.45,834.2,844.95,845,834.4,1798,1517624,353,INE768C01010,2017-02-20
ZYLOG,EQ,3.65,3.95,3.65,3.75,3.7,3.75,34165,127951.1,104,INE225I01026,2017-02-20
